algorithm,fold,metric,value
userknn,0,hits@5,0.07908841044434264
userknn,0,hits@10,0.1336692624828218
userknn,0,hit_rate@5,0.06967475950526798
userknn,0,hit_rate@10,0.11509390746678883
userknn,0,precision@5,0.01581768208886853
userknn,0,precision@10,0.013366926248282184
userknn,0,recall@5,0.02200428932851488
userknn,0,recall@10,0.040151431345765966
userknn,0,f1@5,0.016146535381343273
userknn,0,f1@10,0.018109159651287475
userknn,0,mrr@5,0.02730225988700565
userknn,0,mrr@10,0.033164987020919225
userknn,0,map@5,0.009388212338389197
userknn,0,map@10,0.011976258723685598
userknn,0,ndcg@5,0.019094526819477813
userknn,0,ndcg@10,0.025374260494412618
userknn,0,ndcg_burges@5,0.019094526819477813
userknn,0,ndcg_burges@10,0.025374260494412618
itemknn,0,hits@5,0.2522446174988548
itemknn,0,hits@10,0.5997251488776912
itemknn,0,hit_rate@5,0.21330737517178194
itemknn,0,hit_rate@10,0.4453275309207513
itemknn,0,precision@5,0.05044892349977097
itemknn,0,precision@10,0.05997251488776913
itemknn,0,recall@5,0.0652886389836863
itemknn,0,recall@10,0.17444544060501424
itemknn,0,f1@5,0.050416511344377565
itemknn,0,f1@10,0.08104324242514811
itemknn,0,mrr@5,0.08677049931287219
itemknn,0,mrr@10,0.11761428498716635
itemknn,0,map@5,0.025519197060494884
itemknn,0,map@10,0.04343450400310249
itemknn,0,ndcg@5,0.057309831250844684
itemknn,0,ndcg@10,0.10019240013730003
itemknn,0,ndcg_burges@5,0.057309831250844684
itemknn,0,ndcg_burges@10,0.10019240013730003
random,1,hits@5,0.02984425103069171
random,1,hits@10,0.057741639945029774
random,1,hit_rate@5,0.029431974347228586
random,1,hit_rate@10,0.05572606504809895
random,1,precision@5,0.005968850206138342
random,1,precision@10,0.005774163994502978
random,1,recall@5,0.005975866396089707
random,1,recall@10,0.011520127957175224
random,1,f1@5,0.005320332325265811
random,1,f1@10,0.006919211455892156
random,1,mrr@5,0.013594823637196517
random,1,mrr@10,0.016988044339739255
random,1,map@5,0.0027135449395422192
random,1,map@10,0.0034534433579864066
random,1,ndcg@5,0.0068816488503590685
random,1,ndcg@10,0.008819380571653155
random,1,ndcg_burges@5,0.0068816488503590685
random,1,ndcg_burges@10,0.008819380571653155
mostpop,1,hits@5,0.6839441136051305
mostpop,1,hits@10,1.0936097114063217
mostpop,1,hit_rate@5,0.5117269812185067
mostpop,1,hit_rate@10,0.6549473202015574
mostpop,1,precision@5,0.13678882272102613
mostpop,1,precision@10,0.10936097114063216
mostpop,1,recall@5,0.1750438110312027
mostpop,1,recall@10,0.2705443561121208
mostpop,1,f1@5,0.13775399636321628
mostpop,1,f1@10,0.14085139782096412
mostpop,1,mrr@5,0.2928569247213315
mostpop,1,mrr@10,0.31160054424884936
mostpop,1,map@5,0.09836602268996396
mostpop,1,map@10,0.1192956700597301
mostpop,1,ndcg@5,0.1820344076953529
mostpop,1,ndcg@10,0.2126901399929974
mostpop,1,ndcg_burges@5,0.1820344076953529
mostpop,1,ndcg_burges@10,0.2126901399929974
mf,1,hits@5,0.7387769125057261
mf,1,hits@10,1.3121163536417775
mf,1,hit_rate@5,0.5090242785158039
mf,1,hit_rate@10,0.7066651397159872
mf,1,precision@5,0.1477553825011452
mf,1,precision@10,0.13121163536417776
mf,1,recall@5,0.1766955766147618
mf,1,recall@10,0.3125251361521381
mf,1,f1@5,0.1438667764230145
mf,1,f1@10,0.1675048407576584
mf,1,mrr@5,0.26733432585127503
mf,1,mrr@10,0.29395351162300315
mf,1,map@5,0.09363476871558281
mf,1,map@10,0.12509667710897623
mf,1,ndcg@5,0.1795510523027136
mf,1,ndcg@10,0.22852674601500217
mf,1,ndcg_burges@5,0.1795510523027136
mf,1,ndcg_burges@10,0.22852674601500217
puresvd,1,hits@5,0.24095281722400366
puresvd,1,hits@10,0.46555199267063674
puresvd,1,hit_rate@5,0.21475034356390288
