game_id	context_id	context_name	context_weight
14996	2	playing_time:short	0.0136986
14996	3	playing_time:moderate	0.0136986
14996	4	playing_time:long	0.0136986
14996	6	gaming_mood:party	0.00684932
14996	7	gaming_mood:easy-going	1.0
14996	8	gaming_mood:expert	0.0342466
14996	9	gaming_mood:intense	0.226027
14996	10	gaming_mood:cooperative	0.00684932
14996	11	gaming_mood:competitive	0.136986
14996	13	gaming_mood:story-based	0.00684932
14996	14	social_companion:1-player	0.0136986
14996	15	social_companion:2-players	0.294521
14996	18	social_companion:preschoolers	0.00684932
14996	19	social_companion:children	0.178082
14996	20	social_companion:family	0.664384
15512	1	playing_time:very_short	1.0
15512	2	playing_time:short	0.0189189
15512	4	playing_time:long	0.0027027
15512	6	gaming_mood:party	0.210811
15512	7	gaming_mood:easy-going	0.6
15512	8	gaming_mood:expert	0.00810811
15512	9	gaming_mood:intense	0.113514
15512	10	gaming_mood:cooperative	0.00540541
15512	11	gaming_mood:competitive	0.0135135
15512	12	gaming_mood:thematic	0.0027027
15512	13	gaming_mood:story-based	0.0216216
15512	15	social_companion:2-players	0.0297297
15512	16	social_companion:large-group	0.335135
15512	17	social_companion:toddlers	0.0027027
15512	18	social_companion:preschoolers	0.0243243
15512	19	social_companion:children	0.440541
15512	20	social_companion:family	0.3
15512	21	social_companion:friends	0.00540541
15817	4	playing_time:long	0.027027
15817	7	gaming_mood:easy-going	0.432432
15817	8	gaming_mood:expert	0.027027
15817	9	gaming_mood:intense	0.162162
15817	10	gaming_mood:cooperative	0.027027
15817	11	gaming_mood:competitive	1.0
15817	15	social_companion:2-players	0.027027
15817	19	social_companion:children	0.0540541
15817	20	social_companion:family	0.162162
15818	1	playing_time:very_short	1.0
15818	2	playing_time:short	0.0645161
15818	4	playing_time:long	0.0322581
15818	5	playing_time:very_long	0.0322581
15818	7	gaming_mood:easy-going	0.225806
15818	9	gaming_mood:intense	0.0967742
15818	15	social_companion:2-players	0.129032
15818	16	social_companion:large-group	0.129032
15818	19	social_companion:children	0.387097
15818	20	social_companion:family	0.16129
15878	1	playing_time:very_short	0.285714
15878	5	playing_time:very_long	0.142857
15878	7	gaming_mood:easy-going	0.142857
15878	8	gaming_mood:expert	0.142857
15878	15	social_companion:2-players	0.142857
15878	19	social_companion:children	1.0
15878	20	social_companion:family	1.0
15987	1	playing_time:very_short	0.0310263
15987	2	playing_time:short	0.0119332
15987	3	playing_time:moderate	0.00954654
15987	4	playing_time:long	0.391408
15987	5	playing_time:very_long	0.264916
15987	6	gaming_mood:party	0.0143198
15987	7	gaming_mood:easy-going	0.052506
15987	8	gaming_mood:expert	0.121718
15987	9	gaming_mood:intense	0.145585
15987	10	gaming_mood:cooperative	1.0
15987	11	gaming_mood:competitive	0.0334129
15987	12	gaming_mood:thematic	0.0620525
15987	13	gaming_mood:story-based	0.682578
15987	14	social_companion:1-player	0.178998
15987	15	social_companion:2-players	0.107399
15987	16	social_companion:large-group	0.157518
15987	18	social_companion:preschoolers	0.00238663
15987	19	social_companion:children	0.0334129
15987	20	social_companion:family	0.0310263
15987	21	social_companion:friends	0.0167064
16986	1	playing_time:very_short	0.769231
16986	6	gaming_mood:party	0.230769
16986	7	gaming_mood:easy-going	0.692308
16986	9	gaming_mood:intense	0.307692
16986	11	gaming_mood:competitive	0.153846
16986	15	social_companion:2-players	0.0769231
16986	19	social_companion:children	1.0
16986	20	social_companion:family	0.461538
17025	1	playing_time:very_short	1.0
17025	2	playing_time:short	0.0181818
17025	3	playing_time:moderate	0.00909091
17025	4	playing_time:long	0.00909091
17025	5	playing_time:very_long	0.00909091
17025	6	gaming_mood:party	0.0181818
17025	7	gaming_mood:easy-going	0.372727
17025	8	gaming_mood:expert	0.0181818
17025	9	gaming_mood:intense	0.00909091
17025	14	social_companion:1-player	0.00909091
17025	15	social_companion:2-players	0.0272727
17025	16	social_companion:large-group	0.0545455
17025	19	social_companion:children	0.181818
17025	20	social_companion:family	0.136364
17027	1	playing_time:very_short	1.0
17027	3	playing_time:moderate	0.166667
17027	6	gaming_mood:party	0.166667
17027	7	gaming_mood:easy-going	0.666667
17027	19	social_companion:children	0.333333
17027	20	social_companion:family	0.5
17329	1	playing_time:very_short	0.122715
17329	2	playing_time:short	0.00522193
17329	6	gaming_mood:party	0.00522193
17329	7	gaming_mood:easy-going	0.0443864
17329	8	gaming_mood:expert	0.00261097
17329	9	gaming_mood:intense	0.0130548
17329	11	gaming_mood:competitive	0.00522193
17329	15	social_companion:2-players	0.0182768
17329	17	social_companion:toddlers	0.0652741
17329	18	social_companion:preschoolers	0.0574413
17329	19	social_companion:children	1.0
17329	20	social_companion:family	0.0704961
17392	1	playing_time:very_short	0.137931
17392	2	playing_time:short	0.0344828
17392	3	playing_time:moderate	0.0344828
17392	4	playing_time:long	0.448276
17392	5	playing_time:very_long	0.793103
17392	7	gaming_mood:easy-going	0.0344828
17392	8	gaming_mood:expert	0.137931
17392	9	gaming_mood:intense	0.137931
17392	11	gaming_mood:competitive	0.310345
17392	13	gaming_mood:story-based	0.0689655
17392	14	social_companion:1-player	0.0689655
17392	15	social_companion:2-players	0.482759
17392	16	social_companion:large-group	1.0
17392	19	social_companion:children	0.0689655
17392	21	social_companion:friends	0.137931
18723	1	playing_time:very_short	0.1875
18723	6	gaming_mood:party	0.3125
18723	8	gaming_mood:expert	0.03125
18723	13	gaming_mood:story-based	1.0
18723	16	social_companion:large-group	0.03125
18723	19	social_companion:children	0.15625
18723	20	social_companion:family	0.03125
18803	1	playing_time:very_short	0.333333
18803	6	gaming_mood:party	0.666667
18803	7	gaming_mood:easy-going	0.166667
18803	9	gaming_mood:intense	0.166667
18803	13	gaming_mood:story-based	1.0
18803	16	social_companion:large-group	0.166667
18803	19	social_companion:children	0.166667
19841	1	playing_time:very_short	1.0
19841	2	playing_time:short	0.0833333
19841	7	gaming_mood:easy-going	0.416667
19841	8	gaming_mood:expert	0.25
19841	9	gaming_mood:intense	0.0833333
19841	11	gaming_mood:competitive	0.416667
19841	15	social_companion:2-players	0.75
19841	16	social_companion:large-group	0.0833333
19841	19	social_companion:children	0.5
20545	6	gaming_mood:party	0.0333333
20545	7	gaming_mood:easy-going	0.0333333
20545	13	gaming_mood:story-based	1.0
20545	17	social_companion:toddlers	0.0333333
20545	18	social_companion:preschoolers	0.0333333
20545	19	social_companion:children	0.866667
20545	20	social_companion:family	0.2
21050	1	playing_time:very_short	0.291667
21050	2	playing_time:short	0.0833333
21050	4	playing_time:long	0.25
21050	5	playing_time:very_long	0.125
21050	7	gaming_mood:easy-going	0.916667
21050	8	gaming_mood:expert	0.125
21050	9	gaming_mood:intense	0.708333
21050	10	gaming_mood:cooperative	0.0833333
21050	11	gaming_mood:competitive	0.0416667
21050	12	gaming_mood:thematic	0.0416667
21050	13	gaming_mood:story-based	1.0
21050	14	social_companion:1-player	0.125
21050	15	social_companion:2-players	0.458333
21050	20	social_companion:family	0.0416667
21050	21	social_companion:friends	0.0416667
22348	6	gaming_mood:party	1.0
22348	7	gaming_mood:easy-going	0.0666667
22348	19	social_companion:children	0.133333
22348	20	social_companion:family	0.133333
22889	7	gaming_mood:easy-going	0.0909091
22889	10	gaming_mood:cooperative	0.272727
22889	11	gaming_mood:competitive	0.454545
22889	18	social_companion:preschoolers	0.0909091
22889	19	social_companion:children	1.0
23658	19	social_companion:children	1.0
24508	1	playing_time:very_short	0.666667
24508	2	playing_time:short	0.185185
24508	4	playing_time:long	0.037037
24508	5	playing_time:very_long	0.037037
24508	7	gaming_mood:easy-going	0.703704
24508	8	gaming_mood:expert	0.0740741
24508	9	gaming_mood:intense	0.0740741
24508	11	gaming_mood:competitive	0.296296
24508	13	gaming_mood:story-based	0.037037
24508	15	social_companion:2-players	1.0
24508	19	social_companion:children	0.037037
24508	20	social_companion:family	0.111111
24508	21	social_companion:friends	0.037037
25021	1	playing_time:very_short	0.0769231
25021	2	playing_time:short	0.0769231
25021	4	playing_time:long	0.230769
25021	7	gaming_mood:easy-going	1.0
25021	8	gaming_mood:expert	0.153846
25021	9	gaming_mood:intense	0.615385
25021	11	gaming_mood:competitive	0.153846
25021	13	gaming_mood:story-based	0.230769
25021	15	social_companion:2-players	0.923077
25021	19	social_companion:children	0.0769231
25021	20	social_companion:family	0.0769231
25071	1	playing_time:very_short	0.6
25071	7	gaming_mood:easy-going	1.0
25071	16	social_companion:large-group	0.2
25821	1	playing_time:very_short	0.030303
25821	6	gaming_mood:party	1.0
25821	7	gaming_mood:easy-going	0.181818
25821	9	gaming_mood:intense	0.212121
25821	11	gaming_mood:competitive	0.030303
25821	13	gaming_mood:story-based	0.0606061
25821	16	social_companion:large-group	0.787879
25821	19	social_companion:children	0.0909091
25821	20	social_companion:family	0.212121
26859	6	gaming_mood:party	1.0
26859	16	social_companion:large-group	0.25
26859	19	social_companion:children	0.75
27225	1	playing_time:very_short	1.0
27225	2	playing_time:short	0.0322581
27225	4	playing_time:long	0.016129
27225	6	gaming_mood:party	0.354839
27225	7	gaming_mood:easy-going	0.693548
27225	8	gaming_mood:expert	0.016129
27225	9	gaming_mood:intense	0.467742
27225	10	gaming_mood:cooperative	0.016129
27225	11	gaming_mood:competitive	0.0483871
27225	13	gaming_mood:story-based	0.0322581
27225	14	social_companion:1-player	0.0645161
27225	15	social_companion:2-players	0.225806
27225	16	social_companion:large-group	0.016129
27225	19	social_companion:children	0.435484
27225	20	social_companion:family	0.725806
27627	1	playing_time:very_short	0.15625
27627	3	playing_time:moderate	0.21875
27627	4	playing_time:long	0.90625
27627	5	playing_time:very_long	0.4375
27627	6	gaming_mood:party	0.09375
27627	7	gaming_mood:easy-going	0.375
27627	8	gaming_mood:expert	0.09375
27627	9	gaming_mood:intense	0.03125
27627	10	gaming_mood:cooperative	0.0625
27627	11	gaming_mood:competitive	0.125
27627	12	gaming_mood:thematic	0.03125
27627	13	gaming_mood:story-based	1.0
27627	15	social_companion:2-players	0.03125
27627	16	social_companion:large-group	0.15625
27627	18	social_companion:preschoolers	0.03125
27627	19	social_companion:children	0.625
27627	20	social_companion:family	0.28125
27627	21	social_companion:friends	0.03125
27710	1	playing_time:very_short	1.0
27710	2	playing_time:short	0.0465116
27710	7	gaming_mood:easy-going	0.139535
27710	9	gaming_mood:intense	0.0697674
27710	11	gaming_mood:competitive	0.0697674
27710	14	social_companion:1-player	0.674419
27710	15	social_companion:2-players	0.209302
27710	19	social_companion:children	0.232558
27710	20	social_companion:family	0.0697674
27710	21	social_companion:friends	0.139535
28023	1	playing_time:very_short	0.116438
28023	2	playing_time:short	0.0273973
28023	3	playing_time:moderate	0.0205479
28023	4	playing_time:long	0.0205479
28023	5	playing_time:very_long	0.0136986
28023	6	gaming_mood:party	0.0273973
28023	7	gaming_mood:easy-going	0.787671
28023	8	gaming_mood:expert	0.0136986
28023	9	gaming_mood:intense	0.0479452
28023	11	gaming_mood:competitive	0.0684932
28023	12	gaming_mood:thematic	0.00684932
28023	13	gaming_mood:story-based	0.0205479
28023	15	social_companion:2-players	0.219178
28023	16	social_companion:large-group	0.123288
28023	18	social_companion:preschoolers	0.00684932
28023	19	social_companion:children	0.527397
28023	20	social_companion:family	1.0
28023	21	social_companion:friends	0.00684932
28143	1	playing_time:very_short	0.788462
28143	2	playing_time:short	0.198718
28143	3	playing_time:moderate	0.025641
28143	4	playing_time:long	0.025641
28143	5	playing_time:very_long	0.00641026
28143	6	gaming_mood:party	0.0128205
28143	7	gaming_mood:easy-going	0.410256
28143	8	gaming_mood:expert	0.570513
28143	9	gaming_mood:intense	0.237179
28143	10	gaming_mood:cooperative	0.0192308
28143	11	gaming_mood:competitive	0.166667
28143	12	gaming_mood:thematic	0.00641026
28143	13	gaming_mood:story-based	0.0897436
28143	14	social_companion:1-player	0.25
28143	15	social_companion:2-players	1.0
28143	16	social_companion:large-group	0.0128205
28143	18	social_companion:preschoolers	0.00641026
28143	19	social_companion:children	0.0512821
28143	20	social_companion:family	0.0320513
28143	21	social_companion:friends	0.0192308
28238	19	social_companion:children	1.0
29223	1	playing_time:very_short	0.846154
29223	6	gaming_mood:party	0.0769231
29223	7	gaming_mood:easy-going	1.0
29223	9	gaming_mood:intense	0.153846
29223	11	gaming_mood:competitive	0.0769231
29223	15	social_companion:2-players	0.0769231
29223	18	social_companion:preschoolers	0.0769231
29223	19	social_companion:children	0.692308
29223	20	social_companion:family	0.846154
29387	1	playing_time:very_short	1.0
29387	2	playing_time:short	0.0769231
29387	4	playing_time:long	0.192308
29387	6	gaming_mood:party	0.0384615
29387	7	gaming_mood:easy-going	0.423077
29387	9	gaming_mood:intense	0.0384615
29387	13	gaming_mood:story-based	0.0384615
29387	15	social_companion:2-players	0.115385
29387	16	social_companion:large-group	0.0384615
29387	19	social_companion:children	0.230769
29387	20	social_companion:family	0.0769231
30549	1	playing_time:very_short	0.0199667
30549	2	playing_time:short	0.0138658
30549	3	playing_time:moderate	0.00332779
30549	4	playing_time:long	0.00110926
30549	5	playing_time:very_long	0.00110926
30549	6	gaming_mood:party	0.0088741
30549	7	gaming_mood:easy-going	0.151969
30549	8	gaming_mood:expert	0.0349418
30549	9	gaming_mood:intense	0.101498
30549	10	gaming_mood:cooperative	1.0
30549	11	gaming_mood:competitive	0.0249584
